"ESPCOD","CIENTIFICO","APHIAID","AL3","ESPSIRENO"
"30909",NA,NA,"GTI","Gonatus fabricii"
"21615",NA,NA,"","Sergia spp"
"60955",NA,NA,"","Stephanauge nexilis"
"60961",NA,NA,"SQW","Stauropathes arctica"
"21421",NA,NA,"","Sabinea septemcarinata"
"12814","Bajacalifornia megalops","126687","","Bajacalifornia megalops"
"12775","Oneirodes eschrichtii","126572","","Oneirodes eschrichtii"
"21557",NA,NA,"","Gnathophausia zoea"
"13268","Saccopharynx ampullaceus","127171","","Saccopharynx ampullaceus"
"40240",NA,NA,"","Echinarachnius parma"
"40249",NA,NA,"","Plutonaster agassizi"
"60906",NA,NA,"","Anthoptilum murrayi"
"60924",NA,NA,"","Paragorgia spp"
"30934",NA,NA,"","Mesodesma arctatum"
"60913",NA,NA,"NYZ","Nephtheidae"
"40271",NA,NA,"","Leptychaster arcticus"
"60985",NA,NA,"","Telestula septentrionalis"
"10917","Cottunculus","126167","","Cottunculus spp"
"10919","Cryptopsaras couesii","126538","CTQ","Cryptopsaras couesii"
"11155","Rajella fyllae","105894","RJY","Rajella fyllae"
"11433","Simenchelys parasitica","126327","ASQ","Simenchelys parasitica"
"11434","Borostomias mononema","127336","BRM","Borostomias mononema"
"11451","Anthias","126067","","Anthias spp"
"11615","Borostomias","126204","","Borostomias spp"
"11616","Borostomias antarcticus","127334","BRT","Borostomias antarcticus"
"11645","Lampanyctus","125825","","Lampanyctus spp"
"11785","Myxinidae","101162","MYX","Myxinidae"
"11787","Dibranchus atlanticus","126558","DBA","Dibranchus atlanticus"
"12273","Lycodonus flagellicauda","127119","LCG","Lycodonus flagellicauda"
"12277","Bathypterois dubius","126342","BDU","Bathypterois dubius"
"12861","Alepisaurus brevirostris","126332","ALO","Alepisaurus brevirostris"
"13074","Caulophryne polynema","126535","","Caulophryne polynema"
"13273","Scomber japonicus","127022","MAS","Scomber japonicus"
"20095","Pandalus montagui","107651","AES","Pandalus montagui"
"20551","Pagurus","106854","","Pagurus spp"
"30275","Opisthoteuthidae","23083","","Opisthoteuthidae"
"30788","Bathypolypus bairdii","157011","","Bathypolypus bairdii"
"60009","Pennatula","128495","","Pennatula spp"
"60425","Geodia","132005","","Geodia spp"
"60860","Geodiidae","131664","","Geodiidae"
"60904","Anthomastus","125285","BXX","Anthomastus spp"
"60919","Ptilella grandis","1379630","","Ptiella grandis"
"11192","Diplodus bellottii","127050","DHQ","Diplodus bellottii"
"10496","Diplodus cervinus","127051","","Diplodus cervinus cervinus"
"10497","Diplodus puntazzo","127052","SHR","Diplodus puntazzo"
"10494","Diplodus sargus","127053","SWA","Diplodus sargus"
"10495","Diplodus vulgaris","127054","CTB","Diplodus vulgaris"
"10087","Dipturus batis","105869","","Dipturus batis"
"10080","Dipturus oxyrinchus","105872","","Dipturus oxyrinchus"
"21570","Ebalia granulosa","107298","","Ebalia granulosa"
"00030","Echinodermata","1806","ECH","Echinodermata"
"10266","Gaidropsarus mediterraneus","126457","GGD","Gaidropsarus mediterraneus"
